순위,상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
110,9791193262184,S000213540050,아이가 없는 집,"18,000","16,200",10%,5%,900,알렉스 안도릴,필름(Feelm),20240612,소설
111,9791192559889,S000214043313,오케이 다시 한번 해볼게요,"16,900","15,210",10%,5%,840,박여름,히읏,20240819,시/에세이
112,9791192389998,S000214053667,김재우의 구동사 100,"25,000","22,500",10%,5%,"1,250",김재우,상상스퀘어,20240826,외국어
113,9791171712328,S000213816875,빨간내복야코 맞춤법 절대 안 틀리는 책 2,"14,000","12,600",10%,5%,700,빨간내복야코,위즈덤하우스,20240717,어린이(초등)
114,9788936448752,S000214412840,고양이 해결사 깜냥 7: 캠핑장의 낭만을 즐겨라!,"14,000","12,600",10%,5%,700,홍민정,창비,20240927,어린이(초등)
115,9791172883690,S000214261597,타키 포오의 이세계 여행사 7,"14,500","13,050",10%,5%,720,송도수,대원키즈,20240912,어린이(초등)
116,9788901280684,S000212671852,찌그러져도 동그라미입니다,"17,800","16,020",10%,5%,890,김창완,웅진지식하우스,20240328,시/에세이
116,9788997575169,S000001619177,원씽(The One Thing)(60만 부 기념 스페셜 에디션),"16,800","15,120",10%,5%,840,게리 켈러 외,비즈니스북스,20130830,자기계발
118,9791187142560,S000001897788,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20191007,자기계발
119,9791138484183,S000214157942,던전밥 월드 가이드 모험자 바이블(완전판),"20,000","18,000",10%,5%,"1,000",쿠이 료코,소미미디어,20240904,만화
120,9788998441074,S000001632473,나는 소망한다 내게 금지된 것을,"15,000","13,500",10%,5%,750,양귀자,쓰다,20190420,소설
121,9791167740984,S000201621022,도둑맞은 집중력,"18,800","16,920",10%,5%,940,요한 하리,어크로스,20230428,인문
122,9791162203620,S000001808685,파과,"15,800","14,220",10%,5%,790,구병모,위즈덤하우스,20180416,소설
123,9791130653242,S000214057623,별의 커비 푸푸푸 히어로 5: 잘 있어! 할캔드라!,"11,000","9,900",10%,5%,550,아오키 케이 외,다산어린이,20240826,어린이(초등)
124,9791172456115,S000214054160,카구라바치 1: 해야만 하는 일,"6,500","5,850",10%,5%,320,호카조노 타케루,대원씨아이,20240831,만화
125,9791140710027,S000213299774,원칙으로 수익 내는 단타의 기술,"22,000","19,800",10%,5%,"1,100",원정연(만쥬),길벗,20240531,경제/경영
126,9791198752444,S000213804710,침묵을 배우는 시간,"18,500","16,650",10%,5%,920,코르넬리아 토프,서교책방,20240724,자기계발
127,9788934941330,S000214158631,흔한남매 세계사 탐험대 1,"14,800","13,320",10%,5%,740,흔한남매,주니어김영사,20240829,어린이(초등)
128,9788965424765,S000200406668,해커스 토익 RC Reading(리딩) 기본서,"18,800","16,920",10%,5%,940,David Cho,해커스어학연구소,20230724,외국어
129,9791191777819,S000214198421,자기주관으로 나의 언어를 만들어라,"18,500","16,650",10%,5%,920,요시타니 고로,시옷책방,20240915,자기계발
130,9791167741677,S000214124803,프랭클린 익스프레스,"22,000","19,800",10%,5%,"1,100",에릭 와이너,어크로스,20240902,인문
131,9791136790620,S000214125097,반딧불이의 혼례 3,"8,500","7,650",10%,5%,420,Oreco TACHIBANA,서울미디어코믹스(서울문화사),20240826,만화
132,9791169239455,S000214043600,여기는 루퐁이네: 천사들의 시골살이,"14,000","12,600",10%,5%,700,루퐁이,서울문화사,20240826,어린이(초등)
133,9788937443848,S000000619973,이방인,"10,000","9,000",10%,5%,500,알베르 카뮈,민음사,20190902,소설
134,9791158682842,S000213087019,읽으면서 바로 써먹는 어린이 감정 표현,"13,000","11,700",10%,5%,650,한날,파란정원,20240505,어린이(초등)
135,9791155817629,S000213998811,스토리 설계자,"22,800","20,520",10%,5%,"1,140",짐 에드워즈,윌북,20240830,경제/경영
136,9788954442695,S000000776062,삼체 1: 삼체문제,"17,000","15,300",10%,5%,850,류츠신,자음과모음,20220215,소설
137,9791130646381,S000211513068,이처럼 사소한 것들,"13,800","12,420",10%,5%,690,클레어 키건,다산책방,20231127,소설
